Id	Number	Description	OperationDescription	Type	DepartmentId	WarehouseId	CommentId	TimePrecision	BasicTime	NumberOfPlanningUnits	NumberOfFlows	AvailabilityFactor	SimulationFactor	UnitStaffFactor	SetupStaffFactor
1	100	Svarv 		0	10	1	NULL	0	2.88E+11	1	1	80	100	100	100
2	120	Kratsmaskin		0	10	1	NULL	0	2.88E+11	1	1	80	100	100	100
3	130	Bandslip		0	20	1	NULL	0	2.88E+11	1	1	80	100	100	100
4	140	Packning		0	20	1	NULL	0	2.88E+11	1	1	80	100	100	100
5	150	Kromteknik		0	30	1	NULL	0	2.88E+11	1	1	80	100	100	100
